,MSZoning,LotArea,Alley,LotShape,LandContour,LotConfig,LandSlope,Neighborhood,Condition_1,Condition_2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,RoofStyle,RoofMatl,Exterior_1st,Exterior_2nd,MasVnrType,MasVnrArea,Foundation,BsmtExposure,BsmtFinType_1,BsmtFinType_2,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,GrLivArea,BedroomAbvGr,KitchenAbvGr,TotRmsAbvGrd,Fireplaces,GarageType,GarageFinish,GarageCars,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,_3SsnPorch,ScreenPorch,PoolArea,Fence,MiscFeature,MoSold,YrSold,SaleType,SaleCondition,SalePrice,YearSinceRemod,TotBathrooms
783,RL,9101,No_Alley,3,Lvl,Corner,1,Mitchel,Norm,Norm,1Fam,SFoyer,5,6,1978,Gable,CompShg,Plywood,Plywood,BrkFace,104.0,PConc,Av,GLQ,Unf,1097,GasA,Ex,Y,SBrkr,1110,1,1,4,1,Attchd,4,2,3,303,30,0,0,0,0,No_Fence,None,7,2009,WD,Normal,165500,31,2.0
784,RM,6300,Grvl,4,Lvl,Inside,1,OldTown,Norm,Norm,1Fam,2.5Unf,6,6,1914,Gable,CompShg,Wd Sdng,Wd Shng,None,0.0,CBlock,No,Unf,Unf,742,GasA,Ex,Y,SBrkr,1484,3,1,9,1,No_Garage,1,0,3,0,291,134,0,0,0,No_Fence,None,6,2008,WD,Normal,128000,7,2.0
785,RL,9790,No_Alley,4,Lvl,Inside,1,NWAmes,Feedr,Norm,1Fam,1Story,6,5,1967,Gable,CompShg,BrkFace,Wd Sdng,None,0.0,CBlock,No,Rec,LwQ,1372,GasA,TA,Y,SBrkr,1342,3,1,7,1,Attchd,2,2,3,0,0,0,0,197,0,No_Fence,None,9,2009,WD,Normal,161500,42,2.0
786,RM,10800,No_Alley,4,Lvl,Inside,1,OldTown,Artery,Norm,1Fam,1.5Fin,5,6,1915,Gable,CompShg,MetalSd,MetalSd,None,0.0,PConc,No,LwQ,Unf,686,GasA,TA,Y,SBrkr,1652,4,1,7,0,Detchd,2,1,3,0,0,196,0,0,0,No_Fence,Shed,6,2010,WD,Normal,139000,60,3.0
787,RL,10142,No_Alley,3,Lvl,Inside,1,SawyerW,Norm,Norm,1Fam,2Story,7,5,2004,Gable,CompShg,VinylSd,VinylSd,None,0.0,PConc,No,GLQ,Unf,956,GasA,Ex,Y,SBrkr,2084,4,1,8,0,BuiltIn,3,2,3,0,45,0,0,0,0,No_Fence,None,1,2010,WD,Normal,233000,6,3.5
788,RM,6000,No_Alley,4,Lvl,Corner,1,OldTown,Norm,Norm,1Fam,1Story,4,7,1954,Gable,CompShg,MetalSd,MetalSd,None,0.0,CBlock,No,Unf,Unf,901,GasA,Ex,Y,SBrkr,901,2,1,4,0,Detchd,2,1,3,0,0,0,0,0,0,No_Fence,None,8,2008,WD,Normal,107900,8,1.0
789,RL,12205,No_Alley,3,Low,Inside,1,ClearCr,Norm,Norm,1Fam,2Story,6,8,1966,Gable,CompShg,HdBoard,HdBoard,BrkFace,157.0,CBlock,Gd,LwQ,Unf,832,GasA,Gd,Y,SBrkr,2087,5,1,9,0,Attchd,4,2,3,133,168,0,0,0,0,No_Fence,None,7,2007,WD,Normal,187500,0,2.5
790,RL,3182,No_Alley,4,Lvl,Inside,1,Blmngtn,Norm,Norm,TwnhsE,1Story,7,5,2005,Gable,CompShg,VinylSd,VinylSd,BrkFace,11.0,PConc,No,GLQ,Unf,1145,GasA,Ex,Y,SBrkr,1145,2,1,5,1,Attchd,4,2,3,100,16,0,0,0,0,No_Fence,None,9,2009,WD,Normal,160200,3,2.0
791,RL,11333,No_Alley,3,Lvl,Corner,1,Mitchel,Norm,Norm,1Fam,SLvl,6,5,1976,Gable,CompShg,HdBoard,HdBoard,None,0.0,PConc,Av,ALQ,Unf,1029,GasA,TA,Y,SBrkr,1062,3,1,5,2,Attchd,3,2,3,120,0,0,0,0,0,No_Fence,None,5,2007,WD,Normal,146800,31,2.0
792,RL,9920,No_Alley,3,Lvl,CulDSac,1,NoRidge,Norm,Norm,1Fam,2Story,7,5,1996,Gable,CompShg,MetalSd,MetalSd,None,0.0,PConc,Av,GLQ,Unf,1117,GasA,Ex,Y,SBrkr,2013,3,1,8,1,Attchd,2,2,3,180,130,0,0,0,0,No_Fence,None,6,2007,WD,Normal,269790,10,3.5
793,RL,9158,No_Alley,4,Lvl,Inside,1,Somerst,Norm,Norm,1Fam,1Story,8,5,2007,Gable,CompShg,CemntBd,CmentBd,Stone,140.0,PConc,Av,Unf,Unf,1496,GasA,Ex,Y,SBrkr,1496,3,1,7,0,Attchd,4,2,3,168,130,0,0,0,0,No_Fence,None,6,2007,New,Partial,225000,0,2.0
794,RL,10832,No_Alley,3,Lvl,Corner,1,Gilbert,Norm,Norm,1Fam,2Story,7,5,1994,Gable,CompShg,MetalSd,MetalSd,None,0.0,PConc,No,Unf,Unf,712,GasA,Ex,Y,SBrkr,1895,3,1,7,1,Attchd,4,2,3,143,46,0,0,0,0,No_Fence,Shed,10,2008,WD,Normal,194500,12,2.5
795,RL,8400,No_Alley,4,Lvl,Inside,1,SawyerW,Norm,Norm,1Fam,2Story,6,6,1980,Gable,CompShg,HdBoard,HdBoard,BrkFace,130.0,CBlock,No,Unf,Unf,650,GasA,TA,Y,SBrkr,1564,3,1,7,1,Attchd,2,2,3,0,50,0,0,204,0,MnPrv,None,4,2010,WD,Normal,171000,29,2.5
796,RL,8197,No_Alley,4,Lvl,Inside,1,Sawyer,Norm,Norm,1Fam,1Story,6,5,1977,Gable,CompShg,Plywood,Plywood,BrkFace,148.0,CBlock,No,Unf,Unf,660,GasA,Ex,Y,SBrkr,1285,3,1,7,1,Attchd,3,2,3,138,0,0,0,0,0,MnPrv,None,4,2007,WD,Normal,143500,30,1.5
797,RL,7677,No_Alley,4,Lvl,Inside,1,NAmes,Norm,Norm,1Fam,1Story,5,5,1953,Gable,CompShg,VinylSd,VinylSd,None,0.0,CBlock,No,BLQ,Unf,773,GasA,Gd,Y,SBrkr,773,2,1,4,0,Attchd,2,1,3,0,0,0,0,0,0,No_Fence,None,4,2008,WD,Abnorml,110000,55,1.0
798,RL,13518,No_Alley,4,Lvl,Inside,1,NridgHt,Norm,Norm,1Fam,2Story,9,5,2008,Hip,CompShg,VinylSd,VinylSd,Stone,860.0,PConc,No,Unf,Unf,1926,GasA,Ex,Y,SBrkr,3140,4,1,11,2,BuiltIn,4,3,3,144,78,0,0,0,0,No_Fence,None,7,2009,New,Partial,485000,0,3.5
799,RL,7200,No_Alley,4,Lvl,Corner,1,SWISU,Feedr,Norm,1Fam,1.5Fin,5,7,1937,Gable,CompShg,Wd Sdng,Wd Sdng,BrkFace,252.0,BrkTil,No,ALQ,Unf,731,GasA,Ex,Y,SBrkr,1768,3,1,7,2,Detchd,2,1,3,0,0,264,0,0,0,MnPrv,None,6,2007,WD,Normal,175000,57,2.5
800,RL,12798,No_Alley,3,HLS,Inside,2,ClearCr,Feedr,Norm,1Fam,2Story,6,5,1997,Gable,CompShg,VinylSd,VinylSd,None,0.0,PConc,Gd,GLQ,Unf,616,GasA,Gd,Y,SBrkr,1688,4,1,8,0,Attchd,3,2,3,403,114,185,0,0,0,No_Fence,Shed,5,2008,WD,Normal,200000,11,3.5
801,RM,4800,No_Alley,4,Lvl,Inside,1,IDOTRR,Norm,Norm,1Fam,1Story,4,7,1916,Gable,CompShg,MetalSd,MetalSd,None,0.0,CBlock,No,LwQ,Unf,1196,GasA,Ex,Y,FuseA,1196,2,1,5,0,Detchd,2,2,3,0,0,0,0,0,0,No_Fence,None,7,2007,WD,Normal,109900,17,2.0
802,RL,8199,No_Alley,4,Lvl,Inside,1,CollgCr,Norm,Norm,1Fam,2Story,7,5,2005,Gable,CompShg,WdShing,Wd Shng,None,0.0,PConc,Av,GLQ,Unf,728,GasA,Ex,Y,SBrkr,1456,3,1,7,1,Attchd,4,2,3,36,18,0,0,0,0,No_Fence,None,10,2008,WD,Normal,189000,3,3.5
803,RL,13891,No_Alley,4,Lvl,Inside,1,NridgHt,Norm,Norm,1Fam,2Story,9,5,2008,Hip,CompShg,VinylSd,VinylSd,Stone,424.0,PConc,Gd,Unf,Unf,1734,GasA,Ex,Y,SBrkr,2822,4,1,12,1,BuiltIn,3,3,3,52,170,0,0,192,0,No_Fence,None,1,2009,New,Partial,582933,0,3.5
804,RL,9000,No_Alley,4,Lvl,Inside,1,NAmes,Norm,Norm,1Fam,1Story,5,5,1954,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,CBlock,No,LwQ,Unf,936,GasA,TA,Y,SBrkr,1128,2,1,5,0,Attchd,2,1,3,0,0,0,0,0,0,GdWo,None,6,2006,WD,Family,118000,52,1.0
805,RL,12274,No_Alley,3,Lvl,FR2,1,Somerst,Norm,Norm,1Fam,1Story,7,5,2008,Gable,CompShg,VinylSd,VinylSd,Stone,256.0,PConc,No,Unf,Unf,1417,GasA,Ex,Y,SBrkr,1428,3,1,6,0,Attchd,3,2,3,0,60,0,0,0,0,No_Fence,None,7,2008,New,Partial,227680,0,2.0
806,RL,9750,No_Alley,4,Lvl,Inside,1,NAmes,Norm,Norm,1Fam,SLvl,5,5,1967,Gable,CompShg,VinylSd,VinylSd,None,0.0,PConc,Av,ALQ,Rec,980,GasA,Gd,Y,SBrkr,980,3,1,6,0,Attchd,4,1,3,68,0,0,0,0,0,No_Fence,None,10,2006,WD,Normal,135500,39,2.0
807,RL,21384,No_Alley,4,Lvl,Inside,1,BrkSide,Norm,Norm,1Fam,2Story,5,6,1923,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,CBlock,Gd,GLQ,Unf,1324,GasA,Ex,Y,SBrkr,1576,3,1,6,1,Attchd,3,2,3,0,312,0,0,0,0,No_Fence,None,5,2009,WD,Normal,223500,5,3.5
808,RL,13400,No_Alley,4,Lvl,Inside,1,NAmes,Norm,Norm,1Fam,SLvl,5,5,1966,Gable,CompShg,VinylSd,VinylSd,BrkFace,1047.0,CBlock,Av,ALQ,BLQ,1024,GasA,TA,Y,SBrkr,1086,3,1,6,1,Attchd,3,2,3,0,0,0,0,0,0,GdWo,None,6,2006,WD,Normal,159950,40,2.0
809,RM,8100,No_Alley,4,Lvl,Corner,1,OldTown,Norm,Norm,1Fam,2.5Unf,5,5,1898,Hip,CompShg,AsbShng,AsbShng,None,0.0,PConc,No,Unf,Unf,849,GasA,TA,N,FuseA,2138,2,3,11,0,Detchd,2,2,1,40,156,0,0,0,0,MnPrv,None,11,2009,WD,Normal,106000,44,2.0
810,RL,10140,No_Alley,4,Lvl,Inside,1,NWAmes,Norm,Norm,1Fam,1Story,6,6,1974,Hip,CompShg,HdBoard,HdBoard,BrkFace,99.0,CBlock,No,ALQ,LwQ,1040,GasA,Fa,Y,SBrkr,1309,3,1,5,1,Attchd,3,2,3,265,0,0,0,0,648,GdPrv,None,1,2006,WD,Normal,181000,7,2.5
811,RM,4438,No_Alley,4,Lvl,Inside,1,CollgCr,Norm,Norm,TwnhsE,1Story,6,5,2004,Gable,CompShg,VinylSd,VinylSd,BrkFace,169.0,PConc,Gd,GLQ,Unf,848,GasA,Ex,Y,SBrkr,848,1,1,4,1,Attchd,4,2,3,140,0,0,0,0,0,No_Fence,None,6,2008,ConLD,Normal,144500,4,2.0
812,C (all),8712,No_Alley,4,Bnk,Inside,2,IDOTRR,Norm,Norm,1Fam,1Story,5,5,1952,Hip,CompShg,Wd Sdng,Wd Sdng,None,0.0,CBlock,Av,Unf,Unf,540,GasA,TA,N,FuseA,1044,2,1,4,0,Basment,2,2,1,0,0,0,0,0,0,No_Fence,Shed,6,2010,WD,Alloca,55993,58,1.0
813,RL,9750,No_Alley,4,Lvl,Inside,1,NAmes,Norm,Norm,1Fam,1Story,6,6,1958,Gable,CompShg,MetalSd,MetalSd,BrkFace,243.0,CBlock,No,Rec,Unf,1442,GasA,Gd,Y,SBrkr,1442,4,1,7,0,Attchd,3,1,3,0,0,275,0,0,0,No_Fence,Shed,4,2007,COD,Normal,157900,49,1.5
814,RL,8248,Grvl,4,Lvl,Inside,1,Edwards,Norm,Norm,1Fam,1.5Fin,5,7,1918,Gable,CompShg,Stucco,Stucco,None,0.0,BrkTil,No,Unf,Unf,686,GasW,Gd,Y,SBrkr,1250,3,1,7,0,Detchd,2,1,2,207,0,96,0,0,0,No_Fence,None,7,2006,WD,Normal,116000,56,2.0
815,RL,12137,No_Alley,2,Lvl,CulDSac,1,CollgCr,Norm,Norm,1Fam,1Story,7,5,1998,Gable,CompShg,VinylSd,VinylSd,BrkFace,442.0,PConc,No,Unf,Unf,1649,GasA,Ex,Y,SBrkr,1661,3,1,6,0,Attchd,3,2,3,0,34,0,0,0,0,No_Fence,None,5,2010,WD,Normal,224900,12,2.0
816,RL,11425,No_Alley,3,Lvl,Corner,1,NAmes,Norm,Norm,1Fam,1Story,5,6,1954,Gable,CompShg,BrkFace,BrkFace,None,0.0,CBlock,No,BLQ,Unf,1008,GasA,Gd,Y,SBrkr,1008,2,1,4,1,Attchd,3,1,3,0,0,120,0,0,0,No_Fence,None,7,2006,WD,Normal,137000,52,1.0
817,RL,13265,No_Alley,3,Lvl,CulDSac,1,Mitchel,Norm,Norm,1Fam,1Story,8,5,2002,Hip,CompShg,CemntBd,CmentBd,BrkFace,148.0,PConc,No,GLQ,Unf,1568,GasA,Ex,Y,SBrkr,1689,3,1,7,2,Attchd,3,3,3,150,59,0,0,0,0,No_Fence,None,7,2008,WD,Normal,271000,6,3.0
818,RL,8816,No_Alley,4,Lvl,Inside,1,ClearCr,Norm,Norm,1Fam,SLvl,6,7,1971,Gable,CompShg,HdBoard,HdBoard,BrkFace,80.0,CBlock,Av,GLQ,Unf,1010,GasA,Gd,Y,SBrkr,1052,3,1,6,0,Attchd,2,2,3,0,0,0,0,0,0,MnPrv,None,6,2010,WD,Normal,155000,39,2.0
819,RL,6371,No_Alley,3,Lvl,Inside,1,NridgHt,Norm,Norm,TwnhsE,1Story,7,5,2009,Gable,CompShg,VinylSd,VinylSd,Stone,128.0,PConc,Mn,GLQ,Unf,1358,GasA,Ex,Y,SBrkr,1358,2,1,6,1,Attchd,3,2,3,192,35,0,0,0,0,No_Fence,None,6,2010,New,Partial,224000,0,3.0
820,RL,7226,No_Alley,3,Lvl,CulDSac,1,CollgCr,Norm,Norm,1Fam,2Story,7,5,2003,Gable,CompShg,VinylSd,VinylSd,None,0.0,PConc,No,Unf,Unf,798,GasA,Ex,Y,SBrkr,1640,3,1,6,0,Attchd,3,2,3,0,45,0,0,0,0,No_Fence,None,6,2008,WD,Normal,183000,5,2.5
821,RM,6000,Pave,4,Bnk,Inside,2,OldTown,Norm,Norm,2fmCon,1Story,4,4,1953,Gable,CompShg,MetalSd,MetalSd,None,0.0,CBlock,No,Unf,Unf,936,GasA,TA,N,SBrkr,936,2,1,4,0,Detchd,2,2,3,0,32,112,0,0,0,No_Fence,None,2,2009,WD,Normal,93000,56,1.0
822,RL,12394,No_Alley,3,Lvl,Corner,1,Gilbert,Norm,Norm,1Fam,2Story,7,5,2003,Gable,CompShg,VinylSd,VinylSd,None,0.0,PConc,Gd,Unf,Unf,847,GasA,Ex,Y,SBrkr,1733,3,1,7,1,BuiltIn,4,2,3,100,48,0,0,0,0,No_Fence,None,10,2007,WD,Family,225000,4,2.5
823,RL,9900,No_Alley,4,Lvl,Inside,1,SWISU,Norm,Norm,1Fam,1.5Fin,6,7,1940,Gable,CompShg,VinylSd,VinylSd,None,0.0,BrkTil,No,Unf,Unf,778,GasA,TA,Y,SBrkr,1489,3,1,7,1,Detchd,2,1,3,335,0,0,0,0,0,GdWo,None,7,2009,WD,Normal,139500,59,2.0
824,FV,11216,No_Alley,4,Lvl,Inside,1,Somerst,Norm,Norm,1Fam,1Story,8,5,2006,Gable,CompShg,VinylSd,VinylSd,None,0.0,PConc,No,Unf,Unf,1489,GasA,Ex,Y,SBrkr,1489,3,1,7,1,Attchd,3,2,3,0,140,0,0,0,0,No_Fence,None,6,2006,New,Partial,232600,0,2.0
825,RL,14803,No_Alley,4,Lvl,Inside,1,NridgHt,PosN,PosN,1Fam,1Story,10,5,2007,Hip,CompShg,CemntBd,CmentBd,BrkFace,816.0,PConc,Av,GLQ,Unf,2078,GasA,Ex,Y,SBrkr,2084,2,1,7,1,Attchd,4,3,3,188,45,0,0,0,0,No_Fence,None,6,2008,New,Partial,385000,0,3.0
826,RM,6130,No_Alley,4,Lvl,Inside,1,BrkSide,Norm,Norm,1Fam,1.5Unf,5,6,1924,Gable,CompShg,MetalSd,MetalSd,None,0.0,BrkTil,No,ALQ,Unf,784,GasA,Gd,Y,SBrkr,784,2,1,5,0,No_Garage,1,0,3,0,0,116,0,0,0,No_Fence,None,5,2008,WD,Normal,109500,58,2.0
827,RL,8529,No_Alley,3,Lvl,Inside,1,SawyerW,Norm,Norm,1Fam,1Story,7,5,2001,Gable,CompShg,VinylSd,VinylSd,None,0.0,PConc,No,GLQ,Unf,1454,GasA,Ex,Y,SBrkr,1434,3,1,6,1,Attchd,3,2,3,290,39,0,0,0,0,No_Fence,None,4,2009,WD,Normal,189000,8,2.0
828,RL,28698,No_Alley,2,Low,CulDSac,3,ClearCr,Norm,Norm,1Fam,2Story,5,5,1967,Flat,Tar&Grv,Plywood,Plywood,None,0.0,PConc,Gd,LwQ,ALQ,1013,GasA,TA,Y,SBrkr,2126,3,1,7,0,Attchd,4,2,3,486,0,0,0,225,0,No_Fence,None,6,2009,WD,Abnorml,185000,42,3.0
829,FV,2544,Pave,4,Lvl,Inside,1,Somerst,Norm,Norm,Twnhs,2Story,7,5,2005,Gable,CompShg,MetalSd,MetalSd,None,0.0,PConc,No,Unf,Unf,600,GasA,Ex,Y,SBrkr,1223,2,1,4,0,Detchd,3,2,3,0,166,0,0,0,0,No_Fence,None,7,2006,WD,Normal,147400,1,2.5
830,RL,11900,No_Alley,3,Lvl,Corner,1,NAmes,Norm,Norm,1Fam,1Story,6,5,1957,Gable,CompShg,HdBoard,HdBoard,BrkFace,387.0,CBlock,No,Rec,Unf,1392,GasA,TA,Y,FuseA,1392,3,1,6,2,Attchd,3,2,3,0,0,0,0,192,0,No_Fence,None,6,2008,WD,Normal,166000,51,2.5
831,FV,3180,Pave,4,Lvl,Inside,1,Somerst,Norm,Norm,TwnhsE,2Story,7,5,2005,Gable,CompShg,MetalSd,MetalSd,None,0.0,PConc,No,Unf,Unf,600,GasA,Ex,Y,SBrkr,1200,2,1,4,0,Detchd,3,2,3,0,166,0,0,0,0,No_Fence,None,6,2006,WD,Normal,151000,1,2.5
832,RL,9548,No_Alley,3,Lvl,CulDSac,1,CollgCr,Norm,Norm,1Fam,2Story,7,6,2003,Gable,CompShg,VinylSd,VinylSd,BrkFace,223.0,PConc,No,GLQ,Unf,941,GasA,Ex,Y,SBrkr,1829,3,1,7,1,Attchd,3,2,3,192,39,0,0,0,0,No_Fence,None,1,2010,WD,Normal,237000,7,3.5
833,RL,10004,No_Alley,4,Lvl,Inside,1,NAmes,Norm,Norm,1Fam,1Story,6,6,1964,Gable,CompShg,HdBoard,Plywood,BrkFace,180.0,CBlock,No,Rec,BLQ,1516,GasA,TA,Y,SBrkr,1516,3,1,6,0,Attchd,3,2,3,0,0,0,0,152,0,No_Fence,None,2,2009,WD,Normal,167000,45,1.5
834,RL,7875,No_Alley,4,Lvl,Inside,1,NAmes,Norm,Norm,1Fam,1Story,5,6,1961,Gable,CompShg,VinylSd,VinylSd,BrkFace,136.0,CBlock,No,Rec,Unf,1144,GasA,Gd,Y,SBrkr,1144,3,1,6,0,Attchd,2,2,3,0,0,0,0,0,0,GdWo,None,9,2008,WD,Normal,139950,47,2.0
835,RL,9600,No_Alley,4,Lvl,Inside,1,Sawyer,Norm,Norm,1Fam,1Story,4,7,1950,Gable,CompShg,VinylSd,HdBoard,None,0.0,CBlock,No,BLQ,Unf,1067,GasA,TA,Y,SBrkr,1067,2,1,4,0,Attchd,2,2,3,290,0,0,0,0,0,No_Fence,None,2,2010,WD,Normal,128000,15,2.0
836,RM,8100,Pave,4,Lvl,Inside,1,OldTown,Norm,Norm,1Fam,1Story,5,6,1948,Gable,CompShg,VinylSd,VinylSd,None,0.0,BrkTil,No,Rec,Unf,1559,GasA,Gd,Y,SBrkr,1559,2,1,5,0,Detchd,2,2,3,0,116,230,0,0,0,GdWo,None,6,2007,COD,Normal,153500,34,2.0
837,RM,1680,No_Alley,4,Lvl,Inside,1,BrDale,Norm,Norm,Twnhs,2Story,6,5,1973,Gable,CompShg,HdBoard,HdBoard,BrkFace,158.0,CBlock,No,BLQ,Unf,483,GasA,TA,Y,SBrkr,987,2,1,5,0,Detchd,2,1,3,0,0,0,0,0,0,No_Fence,None,11,2008,WD,Normal,100000,35,2.5
838,RL,9525,No_Alley,4,Lvl,Inside,1,CollgCr,Norm,Norm,1Fam,1Story,5,6,1995,Gable,CompShg,VinylSd,VinylSd,None,0.0,PConc,No,Unf,Unf,1099,GasA,Ex,Y,SBrkr,1099,3,1,6,0,Attchd,2,1,3,278,0,0,0,0,0,No_Fence,None,6,2008,WD,Normal,144000,2,1.5
839,RL,11767,No_Alley,4,Lvl,Inside,1,Edwards,Norm,Norm,1Fam,1.5Fin,5,6,1946,Gable,CompShg,MetalSd,MetalSd,None,0.0,CBlock,No,BLQ,Unf,768,GasA,Ex,Y,SBrkr,1200,3,1,6,0,Detchd,2,1,3,0,0,0,0,0,0,No_Fence,None,5,2008,WD,Normal,130500,13,1.0
840,RH,12155,No_Alley,3,Lvl,Inside,1,SWISU,Norm,Norm,1Fam,2Story,6,8,1925,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,BrkTil,No,BLQ,Unf,672,GasA,TA,N,SBrkr,1482,4,1,7,0,Detchd,2,1,2,0,0,254,0,0,0,No_Fence,None,3,2008,WD,Normal,140000,58,2.0
841,RM,10440,Grvl,4,Lvl,Inside,1,OldTown,Norm,Norm,1Fam,2Story,5,8,1904,Gable,CompShg,MetalSd,MetalSd,None,0.0,PConc,No,Unf,Unf,650,GasA,Gd,Y,SBrkr,1539,3,1,8,1,Detchd,2,2,2,70,78,68,0,0,0,No_Fence,None,6,2008,WD,Normal,157500,6,2.0
842,RL,9020,No_Alley,4,Lvl,Inside,1,NAmes,Norm,Norm,1Fam,SLvl,6,7,1966,Gable,CompShg,HdBoard,HdBoard,BrkFace,183.0,CBlock,Gd,Rec,ALQ,1127,GasA,TA,Y,SBrkr,1165,3,1,6,0,Attchd,3,2,3,0,129,0,0,0,0,GdPrv,None,5,2008,WD,Normal,174900,42,2.5
843,RL,8000,No_Alley,4,Lvl,Corner,1,NAmes,Artery,Norm,Duplex,1Story,5,4,1961,Gable,CompShg,BrkFace,BrkFace,None,0.0,CBlock,No,Unf,Unf,1800,GasA,Ex,N,SBrkr,1800,6,2,10,0,No_Garage,1,0,3,0,0,0,0,0,0,No_Fence,None,7,2007,WD,Normal,141000,46,2.0
844,RM,12665,Grvl,3,Lvl,Inside,1,OldTown,Artery,Norm,1Fam,1.5Fin,5,8,1915,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,BrkTil,Mn,Unf,Unf,876,GasA,Gd,Y,SBrkr,1416,4,1,7,1,Detchd,2,3,3,418,0,194,0,0,0,No_Fence,None,6,2008,WD,Normal,153900,58,1.5
845,RL,16647,No_Alley,3,Lvl,CulDSac,1,Sawyer,RRAe,Norm,1Fam,SFoyer,5,5,1975,Gable,CompShg,HdBoard,HdBoard,None,0.0,CBlock,Gd,ALQ,Unf,1390,GasA,TA,Y,SBrkr,1701,3,1,6,2,Basment,4,2,3,0,0,0,0,0,0,No_Fence,None,1,2007,WD,Normal,171000,26,3.0
846,RL,9317,No_Alley,4,Lvl,Inside,1,SawyerW,Norm,Norm,1Fam,2Story,7,5,1993,Gable,CompShg,HdBoard,HdBoard,BrkFace,137.0,PConc,No,ALQ,Unf,740,GasA,Ex,Y,SBrkr,1775,3,1,7,1,Attchd,2,2,3,234,72,192,0,0,0,No_Fence,None,7,2009,WD,Normal,213000,16,3.5
847,RL,15523,No_Alley,3,Lvl,CulDSac,1,CollgCr,Norm,Norm,1Fam,1Story,5,6,1972,Gable,CompShg,HdBoard,Plywood,None,0.0,CBlock,Av,BLQ,Unf,864,GasA,Ex,Y,SBrkr,864,3,1,5,1,Attchd,2,1,3,0,0,0,0,0,0,No_Fence,None,8,2009,WD,Normal,133500,37,2.0
848,RL,45600,No_Alley,2,Bnk,Inside,1,ClearCr,Norm,Norm,1Fam,1.5Fin,6,8,1908,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,BrkTil,No,Unf,Unf,907,GasA,TA,Y,SBrkr,2358,5,1,10,1,Detchd,2,2,3,486,40,0,0,175,0,No_Fence,None,9,2008,WD,Normal,240000,11,3.0
849,RL,9600,No_Alley,4,Lvl,FR2,1,Veenker,Feedr,Norm,1Fam,SLvl,6,7,1976,Hip,CompShg,Plywood,Plywood,BrkFace,360.0,CBlock,No,Unf,Unf,528,GasA,Ex,Y,SBrkr,1855,3,1,7,1,Attchd,3,2,3,113,100,0,0,0,0,No_Fence,None,8,2007,WD,Normal,187000,13,2.5
850,RM,4435,No_Alley,4,Lvl,Inside,1,CollgCr,Norm,Norm,TwnhsE,1Story,6,5,2003,Gable,CompShg,VinylSd,VinylSd,BrkFace,170.0,PConc,Av,GLQ,Unf,848,GasA,Ex,Y,SBrkr,848,1,1,3,0,Attchd,4,2,3,140,0,0,0,0,0,No_Fence,None,11,2007,WD,Normal,131500,4,2.0
851,RL,3196,No_Alley,4,Lvl,Inside,1,Blmngtn,Norm,Norm,TwnhsE,1Story,8,5,2003,Gable,CompShg,VinylSd,VinylSd,BrkFace,40.0,PConc,Gd,Unf,Unf,1273,GasA,Ex,Y,SBrkr,1456,2,1,7,1,Attchd,4,2,3,143,20,0,0,0,0,No_Fence,None,5,2006,WD,Normal,215000,3,2.0
852,RL,7128,No_Alley,4,Lvl,Inside,1,Crawfor,Norm,Norm,1Fam,2.5Unf,7,5,1941,Gable,CompShg,MetalSd,MetalSd,None,0.0,CBlock,No,Rec,Unf,918,GasA,Gd,Y,SBrkr,1646,4,1,7,2,Detchd,2,1,3,0,0,0,0,126,0,MnPrv,None,8,2007,WD,Normal,164000,57,2.0
853,RL,12095,No_Alley,3,Lvl,Corner,1,NAmes,Norm,Norm,1Fam,SLvl,6,6,1964,Gable,CompShg,MetalSd,HdBoard,BrkFace,115.0,CBlock,Gd,Rec,Unf,1127,GasA,TA,Y,SBrkr,1445,3,1,7,1,Attchd,3,2,3,180,0,0,0,0,0,MnPrv,None,8,2009,WD,Normal,158000,45,1.5
854,RL,17920,No_Alley,4,Lvl,Inside,1,Sawyer,Norm,Norm,1Fam,1Story,5,4,1955,Hip,CompShg,Wd Sdng,Plywood,None,0.0,CBlock,Mn,ALQ,Rec,1763,GasA,TA,Y,SBrkr,1779,3,1,6,1,Attchd,2,2,3,0,418,0,0,312,0,No_Fence,None,7,2006,WD,Abnorml,170000,32,2.5
855,RL,6897,No_Alley,3,Lvl,Corner,1,Sawyer,Norm,Norm,1Fam,1Story,5,8,1962,Gable,CompShg,HdBoard,HdBoard,None,0.0,CBlock,No,ALQ,Unf,1040,GasA,Ex,Y,SBrkr,1040,3,1,6,0,Detchd,2,1,3,0,104,0,0,0,0,No_Fence,None,4,2010,WD,Normal,127000,0,2.5
